"";"Social";"Economico";"Ambiental";"Geral"
"3194679041";0,5;0,3;0,4;0,4
"3194674830";0,6;0,2;0,6;0,466666666666667
"3194668633";0,6;0,3;0,5;0,466666666666667
"3194663313";0,7;0,2;0,9;0,6
"3194658793";0,5;0;0;0,166666666666667
"3194655444";0,6;0,4;0,7;0,566666666666667
"3194651023";0,6;0,1;0,5;0,4
"3194646660";0,2;0,1;0,5;0,266666666666667
"3194641044";0,6;0,2;0,5;0,433333333333333
"3194636312";0,6;0,1;0,5;0,4
"3194632563";0,4;0;0;0,133333333333333
"3194626373";0,5;0,2;0,4;0,366666666666667
"3194618568";0,4;0,3;0,7;0,466666666666667
"3188154309";0,7;0,2;0,4;0,433333333333333
"3188143242";0,6;0,1;0,4;0,366666666666667
"3188133675";0,7;0,1;0,5;0,433333333333333
"3188115015";0,7;0;0,6;0,433333333333333
"3188104088";0,4;0,4;0,7;0,5
"3188095943";0,5;0;0;0,166666666666667
"3188086289";0,5;0,2;0,2;0,3
"3188076209";0,3;0,1;0,5;0,3
"3188065147";0,6;0,2;0,4;0,4
"3188054110";0,6;0,3;0,5;0,466666666666667
"3188035986";0,2;0,3;0,3;0,266666666666667
"3187999647";0,2;0;0,5;0,233333333333333
"3187992362";0,8;0;0,8;0,533333333333333
"3187985861";0,4;0;0;0,133333333333333
"3187979325";0,6;0;0,7;0,433333333333333
"3187960138";0,3;0,2;0,2;0,233333333333333
"3187949594";0,6;0,2;0,5;0,433333333333333
"3187941613";0,6;0,2;0,6;0,466666666666667
"3187910026";0,6;0,1;0,5;0,4
"3186738243";0,5;0,1;0,3;0,3
"3186732763";0,5;0,3;0,6;0,466666666666667
"3186727137";0,5;0,1;0;0,2
"3186721784";0,6;0,1;0,6;0,433333333333333
"3186697389";0,5;0,1;0,5;0,366666666666667
"3186691749";0,6;0,1;0,4;0,366666666666667
"3186681954";0,6;0,5;0,5;0,533333333333333
"3186665028";0,6;0,2;0,6;0,466666666666667
"3186644817";0,8;0,3;0,8;0,633333333333333
"3186358995";0,6;0;0,4;0,333333333333333
"3186325854";0,4;0,2;0,4;0,333333333333333
"3186302931";0,8;0,2;0,6;0,533333333333333
"3186275768";0,7;0,3;0,6;0,533333333333333
"3186251859";0,7;0,3;0,6;0,533333333333333
"3186229764";0,6;0,2;0,5;0,433333333333333
"3186206099";0,4;0,3;0,8;0,5
"3186182992";0,3;0;0,4;0,233333333333333
"3186144075";0,7;0,2;0,5;0,466666666666667
"3186142623";0,6;0,1;0,6;0,433333333333333
"3186136951";0,5;0,1;0,6;0,4
"3186132337";0,7;0,2;0,5;0,466666666666667
"3186125676";0,7;0,6;0,9;0,733333333333333
"3186118638";0,7;0,1;0,6;0,466666666666667
"3186112686";0,7;0,3;0,8;0,6
"3186100443";0,6;0,2;0,9;0,566666666666667
"3186093943";0,8;0,5;0,4;0,566666666666667
"3186086444";0,3;0,1;0,4;0,266666666666667
"3186076346";0,5;0,4;0,6;0,5
"3186068314";0,8;0,2;0,5;0,5
"3186060369";0,7;0,4;0,8;0,633333333333333
"3186052848";0,5;0,2;0,5;0,4
"3186034565";0,7;0,3;0,8;0,6
"3186025627";0,7;0;0,7;0,466666666666667
"3186018278";0,5;0,2;0,6;0,433333333333333
"3185995966";1;0,4;0,7;0,7
"3185984387";0,7;0,2;0,5;0,466666666666667
"3185975980";0,5;0,5;0,4;0,466666666666667
"3185968856";0,3;0,3;0,7;0,433333333333333
"3185963078";0,6;0;0;0,2
"3185954980";0,7;0,1;0,6;0,466666666666667
"3185937582";0,7;0,6;0,9;0,733333333333333
"3185927738";0,5;0,1;0,6;0,4
"3185876703";0,7;0,1;0,7;0,5
"3185854794";0,7;0,6;0,7;0,666666666666667
"3185837366";0,6;0,4;0,6;0,533333333333333
"3185809953";0,6;0,3;0,5;0,466666666666667
"3185775583";0,6;0,4;0,6;0,533333333333333
"3185767082";0,8;0,3;0,4;0,5
"3185760718";0,7;0,3;0,9;0,633333333333333
"3185752880";0,7;0,3;0,7;0,566666666666667
"3185745025";0,6;0,1;0,6;0,433333333333333
"3185730999";0,6;0,6;0,8;0,666666666666667
"3185707677";0,7;0,4;0,6;0,566666666666667
"3185695468";0,6;0,3;0,7;0,533333333333333
"3185682549";0,6;0,5;0,7;0,6
"3185668885";0,7;0,1;0,8;0,533333333333333
"3185660544";0,7;0,1;0,7;0,5
"3185652448";0,5;0,2;0,5;0,4
"3185648602";0,8;0,3;0,8;0,633333333333333
"3185644730";1;0,7;0,8;0,833333333333333
"3185642284";0,8;0,2;0,7;0,566666666666667
"3185637820";0,6;0,4;0,7;0,566666666666667
"3185637305";0,5;0,5;0,7;0,566666666666667
"3185630474";0,5;0;0;0,166666666666667
"3185630055";0,7;0,3;0,8;0,6
"3185619090";0,6;0,3;0,7;0,533333333333333
"3185615816";0,5;0,2;0,9;0,533333333333333
"3185613502";0,6;0,4;0,5;0,5
"3185597506";0,6;0,5;0,3;0,466666666666667
"3185588105";0,5;0,4;0,8;0,566666666666667
"3185582695";0,8;0,3;0,7;0,6
"3185579095";0,7;0,4;0,9;0,666666666666667
"3185576687";0,6;0,5;0,8;0,633333333333333
"3185564714";0,5;0,2;0,5;0,4
"3185563149";0,7;0,2;0,7;0,533333333333333
"3185555696";0,6;0,4;0,7;0,566666666666667
"3185553930";0,6;0,6;0,9;0,7
"3185542754";0,6;0,5;0,6;0,566666666666667
"3185535062";0,6;0,6;0,8;0,666666666666667
"3185528430";0,7;0,5;0,5;0,566666666666667
"3185523153";0,6;0,6;0,6;0,6
"3185516254";0,8;0,7;0,9;0,8
"3185509260";0,5;0,5;0,6;0,533333333333333
"3185507113";0,6;0,5;0,5;0,533333333333333
"3185503835";0,4;0,3;0,4;0,366666666666667
